#GCH	IBD	ICH	IX	IY	IZ	Dir
0	0	0	-5	5	0	0
1	0	1	-7	5	0	0
2	0	2	-9	5	0	0
3	0	3	-11	5	0	0
4	0	4	-5	7	0	0
5	0	5	-7	7	0	0
6	0	6	-9	7	0	0
7	0	7	-11	7	0	0
8	0	8	-5	9	0	0
9	0	9	-7	9	0	0
10	0	10	-9	9	0	0
11	0	11	-11	9	0	0
12	0	12	-5	11	0	0
13	0	13	-7	11	0	0
14	0	14	-9	11	0	0
15	0	15	-11	11	0	0
16	1	0	-3	5	0	1
17	1	1	-1	5	0	1
18	1	2	1	5	0	1
19	1	3	3	5	0	1
20	1	4	-3	7	0	1
21	1	5	-1	7	0	1
22	1	6	1	7	0	1
23	1	7	3	7	0	1
24	1	8	-3	9	0	1
25	1	9	-1	9	0	1
26	1	10	1	9	0	1
27	1	11	3	9	0	1
28	1	12	-3	11	0	1
29	1	13	-1	11	0	1
30	1	14	1	11	0	1
31	1	15	3	11	0	1
32	2	0	11	5	0	0
33	2	1	9	5	0	0
34	2	2	7	5	0	0
35	2	3	5	5	0	0
36	2	4	11	7	0	0
37	2	5	9	7	0	0
38	2	6	7	7	0	0
39	2	7	5	7	0	0
40	2	8	11	9	0	0
41	2	9	9	9	0	0
42	2	10	7	9	0	0
43	2	11	5	9	0	0
44	2	12	11	11	0	0
45	2	13	9	11	0	0
46	2	14	7	11	0	0
47	2	15	5	11	0	0
48	3	0	-11	-3	0	1
49	3	1	-9	-3	0	1
50	3	2	-7	-3	0	1
51	3	3	-5	-3	0	1
52	3	4	-11	-1	0	1
53	3	5	-9	-1	0	1
54	3	6	-7	-1	0	1
55	3	7	-5	-1	0	1
56	3	8	-11	1	0	1
57	3	9	-9	1	0	1
58	3	10	-7	1	0	1
59	3	11	-5	1	0	1
60	3	12	-11	3	0	1
61	3	13	-9	3	0	1
62	3	14	-7	3	0	1
63	3	15	-5	3	0	1
64	4	0	3	-3	0	0
65	4	1	1	-3	0	0
66	4	2	-1	-3	0	0
67	4	3	-3	-3	0	0
68	4	4	3	-1	0	0
69	4	5	1	-1	0	0
70	4	6	-1	-1	0	0
71	4	7	-3	-1	0	0
72	4	8	3	1	0	0
73	4	9	1	1	0	0
74	4	10	-1	1	0	0
75	4	11	-3	1	0	0
76	4	12	3	3	0	0
77	4	13	1	3	0	0
78	4	14	-1	3	0	0
79	4	15	-3	3	0	0
80	5	0	5	-3	0	1
81	5	1	7	-3	0	1
82	5	2	9	-3	0	1
83	5	3	11	-3	0	1
84	5	4	5	-1	0	1
85	5	5	7	-1	0	1
86	5	6	9	-1	0	1
87	5	7	11	-1	0	1
88	5	8	5	1	0	1
89	5	9	7	1	0	1
90	5	10	9	1	0	1
91	5	11	11	1	0	1
92	5	12	5	3	0	1
93	5	13	7	3	0	1
94	5	14	9	3	0	1
95	5	15	11	3	0	1
96	6	0	-5	-11	0	0
97	6	1	-7	-11	0	0
98	6	2	-9	-11	0	0
99	6	3	-11	-11	0	0
100	6	4	-5	-9	0	0
101	6	5	-7	-9	0	0
102	6	6	-9	-9	0	0
103	6	7	-11	-9	0	0
104	6	8	-5	-7	0	0
105	6	9	-7	-7	0	0
106	6	10	-9	-7	0	0
107	6	11	-11	-7	0	0
108	6	12	-5	-5	0	0
109	6	13	-7	-5	0	0
110	6	14	-9	-5	0	0
111	6	15	-11	-5	0	0
112	7	0	-3	-11	0	1
113	7	1	-1	-11	0	1
114	7	2	1	-11	0	1
115	7	3	3	-11	0	1
116	7	4	-3	-9	0	1
117	7	5	-1	-9	0	1
118	7	6	1	-9	0	1
119	7	7	3	-9	0	1
120	7	8	-3	-7	0	1
121	7	9	-1	-7	0	1
122	7	10	1	-7	0	1
123	7	11	3	-7	0	1
124	7	12	-3	-5	0	1
125	7	13	-1	-5	0	1
126	7	14	1	-5	0	1
127	7	15	3	-5	0	1
128	8	0	11	-11	0	0
129	8	1	9	-11	0	0
130	8	2	7	-11	0	0
131	8	3	5	-11	0	0
132	8	4	11	-9	0	0
133	8	5	9	-9	0	0
134	8	6	7	-9	0	0
135	8	7	5	-9	0	0
136	8	8	11	-7	0	0
137	8	9	9	-7	0	0
138	8	10	7	-7	0	0
139	8	11	5	-7	0	0
140	8	12	11	-5	0	0
141	8	13	9	-5	0	0
142	8	14	7	-5	0	0
143	8	15	5	-5	0	0
144	9	0	-7	1	1	1
145	9	1	-5	1	1	1
146	9	2	-3	1	1	1
147	9	3	-1	1	1	1
148	9	4	-7	3	1	1
149	9	5	-5	3	1	1
150	9	6	-3	3	1	1
151	9	7	-1	3	1	1
152	9	8	-7	5	1	1
153	9	9	-5	5	1	1
154	9	10	-3	5	1	1
155	9	11	-1	5	1	1
156	9	12	-7	7	1	1
157	9	13	-5	7	1	1
158	9	14	-3	7	1	1
159	9	15	-1	7	1	1
160	10	0	7	1	1	0
161	10	1	5	1	1	0
162	10	2	3	1	1	0
163	10	3	1	1	1	0
164	10	4	7	3	1	0
165	10	5	5	3	1	0
166	10	6	3	3	1	0
167	10	7	1	3	1	0
168	10	8	7	5	1	0
169	10	9	5	5	1	0
170	10	10	3	5	1	0
171	10	11	1	5	1	0
172	10	12	7	7	1	0
173	10	13	5	7	1	0
174	10	14	3	7	1	0
175	10	15	1	7	1	0
176	11	0	-1	-7	1	0
177	11	1	-3	-7	1	0
178	11	2	-5	-7	1	0
179	11	3	-7	-7	1	0
180	11	4	-1	-5	1	0
181	11	5	-3	-5	1	0
182	11	6	-5	-5	1	0
