#GCH	IBD	ICH	IX	IY	IZ	Dir
183	11	7	-7	-5	1	0
184	11	8	-1	-3	1	0
185	11	9	-3	-3	1	0
186	11	10	-5	-3	1	0
187	11	11	-7	-3	1	0
188	11	12	-1	-1	1	0
189	11	13	-3	-1	1	0
190	11	14	-5	-1	1	0
191	11	15	-7	-1	1	0
192	12	0	1	-7	1	1
193	12	1	3	-7	1	1
194	12	2	5	-7	1	1
195	12	3	7	-7	1	1
196	12	4	1	-5	1	1
197	12	5	3	-5	1	1
198	12	6	5	-5	1	1
199	12	7	7	-5	1	1
200	12	8	1	-3	1	1
201	12	9	3	-3	1	1
202	12	10	5	-3	1	1
203	12	11	7	-3	1	1
204	12	12	1	-1	1	1
205	12	13	3	-1	1	1
206	12	14	5	-1	1	1
207	12	15	7	-1	1	1
208	13	0	-7	1	2	1
209	13	1	-5	1	2	1
210	13	2	-3	1	2	1
211	13	3	-1	1	2	1
212	13	4	-7	3	2	1
213	13	5	-5	3	2	1
214	13	6	-3	3	2	1
215	13	7	-1	3	2	1
216	13	8	-7	5	2	1
217	13	9	-5	5	2	1
218	13	10	-3	5	2	1
219	13	11	-1	5	2	1
220	13	12	-7	7	2	1
221	13	13	-5	7	2	1
222	13	14	-3	7	2	1
223	13	15	-1	7	2	1
224	14	0	7	1	2	0
225	14	1	5	1	2	0
226	14	2	3	1	2	0
227	14	3	1	1	2	0
228	14	4	7	3	2	0
229	14	5	5	3	2	0
230	14	6	3	3	2	0
231	14	7	1	3	2	0
232	14	8	7	5	2	0
233	14	9	5	5	2	0
234	14	10	3	5	2	0
235	14	11	1	5	2	0
236	14	12	7	7	2	0
237	14	13	5	7	2	0
238	14	14	3	7	2	0
239	14	15	1	7	2	0
240	15	0	-1	-7	2	0
241	15	1	-3	-7	2	0
242	15	2	-5	-7	2	0
243	15	3	-7	-7	2	0
244	15	4	-1	-5	2	0
245	15	5	-3	-5	2	0
246	15	6	-5	-5	2	0
247	15	7	-7	-5	2	0
248	15	8	-1	-3	2	0
249	15	9	-3	-3	2	0
250	15	10	-5	-3	2	0
251	15	11	-7	-3	2	0
252	15	12	-1	-1	2	0
253	15	13	-3	-1	2	0
254	15	14	-5	-1	2	0
255	15	15	-7	-1	2	0
256	16	0	1	-7	2	1
257	16	1	3	-7	2	1
258	16	2	5	-7	2	1
259	16	3	7	-7	2	1
260	16	4	1	-5	2	1
261	16	5	3	-5	2	1
262	16	6	5	-5	2	1
263	16	7	7	-5	2	1
264	16	8	1	-3	2	1
265	16	9	3	-3	2	1
266	16	10	5	-3	2	1
267	16	11	7	-3	2	1
268	16	12	1	-1	2	1
269	16	13	3	-1	2	1
270	16	14	5	-1	2	1
271	16	15	7	-1	2	1
272	17	0	-5	5	3	0
273	17	1	-7	5	3	0
274	17	2	-9	5	3	0
275	17	3	-11	5	3	0
276	17	4	-5	7	3	0
277	17	5	-7	7	3	0
278	17	6	-9	7	3	0
279	17	7	-11	7	3	0
280	17	8	-5	9	3	0
281	17	9	-7	9	3	0
282	17	10	-9	9	3	0
283	17	11	-11	9	3	0
284	17	12	-5	11	3	0
285	17	13	-7	11	3	0
286	17	14	-9	11	3	0
287	17	15	-11	11	3	0
288	18	0	-3	5	3	1
289	18	1	-1	5	3	1
290	18	2	1	5	3	1
291	18	3	3	5	3	1
292	18	4	-3	7	3	1
293	18	5	-1	7	3	1
294	18	6	1	7	3	1
295	18	7	3	7	3	1
296	18	8	-3	9	3	1
297	18	9	-1	9	3	1
298	18	10	1	9	3	1
299	18	11	3	9	3	1
300	18	12	-3	11	3	1
301	18	13	-1	11	3	1
302	18	14	1	11	3	1
303	18	15	3	11	3	1
304	19	0	11	5	3	0
305	19	1	9	5	3	0
306	19	2	7	5	3	0
307	19	3	5	5	3	0
308	19	4	11	7	3	0
309	19	5	9	7	3	0
310	19	6	7	7	3	0
311	19	7	5	7	3	0
312	19	8	11	9	3	0
313	19	9	9	9	3	0
314	19	10	7	9	3	0
315	19	11	5	9	3	0
316	19	12	11	11	3	0
317	19	13	9	11	3	0
318	19	14	7	11	3	0
319	19	15	5	11	3	0
320	20	0	-11	-3	3	1
321	20	1	-9	-3	3	1
322	20	2	-7	-3	3	1
323	20	3	-5	-3	3	1
324	20	4	-11	-1	3	1
325	20	5	-9	-1	3	1
326	20	6	-7	-1	3	1
327	20	7	-5	-1	3	1
328	20	8	-11	1	3	1
329	20	9	-9	1	3	1
330	20	10	-7	1	3	1
331	20	11	-5	1	3	1
332	20	12	-11	3	3	1
333	20	13	-9	3	3	1
334	20	14	-7	3	3	1
335	20	15	-5	3	3	1
336	21	0	3	-3	3	0
337	21	1	1	-3	3	0
338	21	2	-1	-3	3	0
339	21	3	-3	-3	3	0
340	21	4	3	-1	3	0
341	21	5	1	-1	3	0
342	21	6	-1	-1	3	0
343	21	7	-3	-1	3	0
344	21	8	3	1	3	0
345	21	9	1	1	3	0
346	21	10	-1	1	3	0
347	21	11	-3	1	3	0
348	21	12	3	3	3	0
349	21	13	1	3	3	0
350	21	14	-1	3	3	0
351	21	15	-3	3	3	0
352	22	0	5	-3	3	1
353	22	1	7	-3	3	1
354	22	2	9	-3	3	1
355	22	3	11	-3	3	1
356	22	4	5	-1	3	1
357	22	5	7	-1	3	1
358	22	6	9	-1	3	1
359	22	7	11	-1	3	1
360	22	8	5	1	3	1
361	22	9	7	1	3	1
362	22	10	9	1	3	1
363	22	11	11	1	3	1
364	22	12	5	3	3	1
365	22	13	7	3	3	1
366	22	14	9	3	3	1
367	22	15	11	3	3	1
368	23	0	-5	-11	3	0
369	23	1	-7	-11	3	0
370	23	2	-9	-11	3	0
371	23	3	-11	-11	3	0
372	23	4	-5	-9	3	0
373	23	5	-7	-9	3	0
374	23	6	-9	-9	3	0
375	23	7	-11	-9	3	0
376	23	8	-5	-7	3	0
377	23	9	-7	-7	3	0
378	23	10	-9	-7	3	0
379	23	11	-11	-7	3	0
380	23	12	-5	-5	3	0
381	23	13	-7	-5	3	0
382	23	14	-9	-5	3	0
383	23	15	-11	-5	3	0
384	24	0	-3	-11	3	1
385	24	1	-1	-11	3	1
386	24	2	1	-11	3	1
387	24	3	3	-11	3	1
388	24	4	-3	-9	3	1
389	24	5	-1	-9	3	1
390	24	6	1	-9	3	1
391	24	7	3	-9	3	1
392	24	8	-3	-7	3	1
393	24	9	-1	-7	3	1
394	24	10	1	-7	3	1
395	24	11	3	-7	3	1
396	24	12	-3	-5	3	1
397	24	13	-1	-5	3	1
398	24	14	1	-5	3	1
399	24	15	3	-5	3	1
400	25	0	11	-11	3	0
401	25	1	9	-11	3	0
402	25	2	7	-11	3	0
403	25	3	5	-11	3	0
404	25	4	11	-9	3	0
405	25	5	9	-9	3	0
406	25	6	7	-9	3	0
407	25	7	5	-9	3	0
408	25	8	11	-7	3	0
409	25	9	9	-7	3	0
410	25	10	7	-7	3	0
411	25	11	5	-7	3	0
412	25	12	11	-5	3	0
413	25	13	9	-5	3	0
414	25	14	7	-5	3	0
415	25	15	5	-5	3	0
