#GCH	IBD	ICH	IX	IY	IZ	Dir
66	4	2	-5	7	1	1
67	4	3	-7	7	1	1
68	4	4	-1	5	1	1
69	4	5	-3	5	1	1
70	4	6	-5	5	1	1
71	4	7	-7	5	1	1
72	4	8	-1	3	1	1
73	4	9	-3	3	1	1
74	4	10	-5	3	1	1
75	4	11	-7	3	1	1
76	4	12	-1	1	1	1
77	4	13	-3	1	1	1
78	4	14	-5	1	1	1
79	4	15	-7	1	1	1
80	5	0	1	7	1	0
81	5	1	3	7	1	0
82	5	2	5	7	1	0
83	5	3	7	7	1	0
84	5	4	1	5	1	0
85	5	5	3	5	1	0
86	5	6	5	5	1	0
87	5	7	7	5	1	0
88	5	8	1	3	1	0
89	5	9	3	3	1	0
90	5	10	5	3	1	0
91	5	11	7	3	1	0
92	5	12	1	1	1	0
93	5	13	3	1	1	0
94	5	14	5	1	1	0
95	5	15	7	1	1	0
96	6	0	-7	-1	1	0
97	6	1	-5	-1	1	0
98	6	2	-3	-1	1	0
99	6	3	-1	-1	1	0
100	6	4	-7	-3	1	0
101	6	5	-5	-3	1	0
102	6	6	-3	-3	1	0
103	6	7	-1	-3	1	0
104	6	8	-7	-5	1	0
105	6	9	-5	-5	1	0
106	6	10	-3	-5	1	0
107	6	11	-1	-5	1	0
108	6	12	-7	-7	1	0
109	6	13	-5	-7	1	0
110	6	14	-3	-7	1	0
111	6	15	-1	-7	1	0
112	7	0	7	-1	1	1
113	7	1	5	-1	1	1
114	7	2	3	-1	1	1
115	7	3	1	-1	1	1
116	7	4	7	-3	1	1
117	7	5	5	-3	1	1
118	7	6	3	-3	1	1
119	7	7	1	-3	1	1
120	7	8	7	-5	1	1
121	7	9	5	-5	1	1
122	7	10	3	-5	1	1
123	7	11	1	-5	1	1
124	7	12	7	-7	1	1
125	7	13	5	-7	1	1
126	7	14	3	-7	1	1
127	7	15	1	-7	1	1
128	8	0	-1	7	2	1
129	8	1	-3	7	2	1
130	8	2	-5	7	2	1
131	8	3	-7	7	2	1
132	8	4	-1	5	2	1
133	8	5	-3	5	2	1
134	8	6	-5	5	2	1
135	8	7	-7	5	2	1
136	8	8	-1	3	2	1
137	8	9	-3	3	2	1
138	8	10	-5	3	2	1
139	8	11	-7	3	2	1
140	8	12	-1	1	2	1
141	8	13	-3	1	2	1
142	8	14	-5	1	2	1
143	8	15	-7	1	2	1
144	9	0	1	7	2	0
145	9	1	3	7	2	0
146	9	2	5	7	2	0
147	9	3	7	7	2	0
148	9	4	1	5	2	0
149	9	5	3	5	2	0
150	9	6	5	5	2	0
151	9	7	7	5	2	0
152	9	8	1	3	2	0
153	9	9	3	3	2	0
154	9	10	5	3	2	0
155	9	11	7	3	2	0
156	9	12	1	1	2	0
157	9	13	3	1	2	0
158	9	14	5	1	2	0
159	9	15	7	1	2	0
160	10	0	-7	-1	2	0
161	10	1	-5	-1	2	0
162	10	2	-3	-1	2	0
163	10	3	-1	-1	2	0
164	10	4	-7	-3	2	0
165	10	5	-5	-3	2	0
166	10	6	-3	-3	2	0
167	10	7	-1	-3	2	0
168	10	8	-7	-5	2	0
169	10	9	-5	-5	2	0
170	10	10	-3	-5	2	0
171	10	11	-1	-5	2	0
172	10	12	-7	-7	2	0
173	10	13	-5	-7	2	0
174	10	14	-3	-7	2	0
175	10	15	-1	-7	2	0
176	11	0	7	-1	2	1
177	11	1	5	-1	2	1
178	11	2	3	-1	2	1
179	11	3	1	-1	2	1
180	11	4	7	-3	2	1
181	11	5	5	-3	2	1
182	11	6	3	-3	2	1
183	11	7	1	-3	2	1
184	11	8	7	-5	2	1
185	11	9	5	-5	2	1
186	11	10	3	-5	2	1
187	11	11	1	-5	2	1
188	11	12	7	-7	2	1
189	11	13	5	-7	2	1
190	11	14	3	-7	2	1
191	11	15	1	-7	2	1
192	12	0	-1	7	3	1
193	12	1	-3	7	3	1
194	12	2	-5	7	3	1
195	12	3	-7	7	3	1
196	12	4	-1	5	3	1
197	12	5	-3	5	3	1
198	12	6	-5	5	3	1
199	12	7	-7	5	3	1
200	12	8	-1	3	3	1
201	12	9	-3	3	3	1
202	12	10	-5	3	3	1
203	12	11	-7	3	3	1
204	12	12	-1	1	3	1
205	12	13	-3	1	3	1
206	12	14	-5	1	3	1
207	12	15	-7	1	3	1
208	13	0	1	7	3	0
209	13	1	3	7	3	0
210	13	2	5	7	3	0
211	13	3	7	7	3	0
212	13	4	1	5	3	0
213	13	5	3	5	3	0
214	13	6	5	5	3	0
215	13	7	7	5	3	0
216	13	8	1	3	3	0
217	13	9	3	3	3	0
218	13	10	5	3	3	0
219	13	11	7	3	3	0
220	13	12	1	1	3	0
221	13	13	3	1	3	0
222	13	14	5	1	3	0
223	13	15	7	1	3	0
224	14	0	-7	-1	3	0
225	14	1	-5	-1	3	0
226	14	2	-3	-1	3	0
227	14	3	-1	-1	3	0
228	14	4	-7	-3	3	0
229	14	5	-5	-3	3	0
230	14	6	-3	-3	3	0
231	14	7	-1	-3	3	0
232	14	8	-7	-5	3	0
233	14	9	-5	-5	3	0
234	14	10	-3	-5	3	0
235	14	11	-1	-5	3	0
236	14	12	-7	-7	3	0
237	14	13	-5	-7	3	0
238	14	14	-3	-7	3	0
239	14	15	-1	-7	3	0
240	15	0	7	-1	3	1
241	15	1	5	-1	3	1
242	15	2	3	-1	3	1
243	15	3	1	-1	3	1
244	15	4	7	-3	3	1
245	15	5	5	-3	3	1
246	15	6	3	-3	3	1
247	15	7	1	-3	3	1
248	15	8	7	-5	3	1
249	15	9	5	-5	3	1
250	15	10	3	-5	3	1
251	15	11	1	-5	3	1
252	15	12	7	-7	3	1
253	15	13	5	-7	3	1
254	15	14	3	-7	3	1
255	15	15	1	-7	3	1
