#GCH	IBD	ICH	IX	IY	IZ	Dir
0	0	0	-1	7	0	1
1	0	1	-3	7	0	1
2	0	2	-5	7	0	1
3	0	3	-7	7	0	1
4	0	4	-1	5	0	1
5	0	5	-3	5	0	1
6	0	6	-5	5	0	1
7	0	7	-7	5	0	1
8	0	8	-1	3	0	1
9	0	9	-3	3	0	1
10	0	10	-5	3	0	1
11	0	11	-7	3	0	1
12	0	12	-1	1	0	1
13	0	13	-3	1	0	1
14	0	14	-5	1	0	1
15	0	15	-7	1	0	1
16	1	0	1	7	0	0
17	1	1	3	7	0	0
18	1	2	5	7	0	0
19	1	3	7	7	0	0
20	1	4	1	5	0	0
21	1	5	3	5	0	0
22	1	6	5	5	0	0
23	1	7	7	5	0	0
24	1	8	1	3	0	0
25	1	9	3	3	0	0
26	1	10	5	3	0	0
27	1	11	7	3	0	0
28	1	12	1	1	0	0
29	1	13	3	1	0	0
30	1	14	5	1	0	0
31	1	15	7	1	0	0
32	2	0	-7	-1	0	0
33	2	1	-5	-1	0	0
34	2	2	-3	-1	0	0
35	2	3	-1	-1	0	0
36	2	4	-7	-3	0	0
37	2	5	-5	-3	0	0
38	2	6	-3	-3	0	0
39	2	7	-1	-3	0	0
40	2	8	-7	-5	0	0
41	2	9	-5	-5	0	0
42	2	10	-3	-5	0	0
43	2	11	-1	-5	0	0
44	2	12	-7	-7	0	0
45	2	13	-5	-7	0	0
46	2	14	-3	-7	0	0
47	2	15	-1	-7	0	0
48	3	0	7	-1	0	1
49	3	1	5	-1	0	1
50	3	2	3	-1	0	1
51	3	3	1	-1	0	1
52	3	4	7	-3	0	1
53	3	5	5	-3	0	1
54	3	6	3	-3	0	1
55	3	7	1	-3	0	1
56	3	8	7	-5	0	1
57	3	9	5	-5	0	1
58	3	10	3	-5	0	1
59	3	11	1	-5	0	1
60	3	12	7	-7	0	1
61	3	13	5	-7	0	1
62	3	14	3	-7	0	1
63	3	15	1	-7	0	1
64	4	0	-1	7	1	1
65	4	1	-3	7	1	1
